,artistName,artistId,songName,songId,availableMarket,songPopularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,aritstPopularity,artistGenre
31,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,"CA,US",73.0,0.515,0.43,7.0,-9.935,1.0,0.0369,0.0102,0.00014099999999999998,0.129,0.10400000000000001,91.84100000000001,79.0,"alternative rock,art rock,melancholia,modern rock,oxford indie,permanent wave,rock"
32,Sia,5WUlDfRSoLAfcVSX1WnrxN,Chandelier,2s1sdSqGcKxpPr5lCl7jAV,"AD,AE,AR,AT,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",71.0,0.37,0.5,7.0,-7.756,1.0,0.025,0.0031100000000000004,1.83e-06,0.0642,0.281,187.18599999999998,5.0,
33,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,"AE,BH,CA,DZ,EG,JO,KW,LB,MA,MX,OM,QA,SA,TN,US",73.0,0.35600000000000004,0.872,2.0,-7.837000000000001,1.0,0.068,0.00417,0.00975,0.0997,0.607,166.3,76.0,"blues rock,garage rock,modern blues rock,modern rock,punk blues,rock"
34,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",75.0,0.48,0.7559999999999999,1.0,-5.399,1.0,0.0333,0.00993,0.00704,0.312,0.447,131.127,78.0,"folk-pop,modern rock,neo mellow,stomp and holler,uk americana"
35,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",82.0,0.674,0.789,8.0,-6.903,1.0,0.0676,0.0017800000000000001,0.0071,0.0754,0.9179999999999999,129.804,70.0,"alternative rock,britpop,dance rock,garage rock,indie rock,madchester,modern rock,new wave,permanent wave,pop rock,rock"
36,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Mirrors,4rHZZAmHpZrA3iH5zx8frV,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",77.0,0.446,0.757,1.0,-5.1770000000000005,1.0,0.0322,0.0206,0.0,0.146,0.42100000000000004,102.88,72.0,"folk-pop,indie folk,indie pop,metropopolis,modern rock,stomp and holler"
37,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,"CR,MX,US",69.0,0.737,0.46299999999999997,0.0,-7.827999999999999,1.0,0.0792,0.00817,0.447,0.255,0.324,123.881,73.0,"alternative rock,blues rock,garage rock,indie rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
38,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Take Me Out,6ooluO7DiEhI1zmK94nRCM,"AR,AU,BO,BR,CA,CL,CO,CR,EC,GT,HK,HN,ID,IN,JP,MX,MY,NI,NZ,PA,PE,PH,PY,SG,SV,TH,TW,US,UY,VN,ZA",75.0,0.6809999999999999,0.44,5.0,-15.366,1.0,0.0307,0.0144,0.917,0.19899999999999998,0.821,132.07,11.0,karaoke
39,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",84.0,0.736,0.51,4.0,-7.856,1.0,0.0518,0.02,0.6890000000000001,0.316,0.215,126.12100000000001,10.0,
40,Katy Perry,6jJ0s89eD6GaHleKKya26X,Roar,6F5c58TMEs1byxUstkzVeM,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",78.0,0.775,0.823,1.0,-6.091,1.0,0.271,0.0009539999999999999,0.0,0.14400000000000002,0.273,130.041,89.0,"chicago rap,hip hop,pop rap,rap"
